,Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume
0,2/1/2015,40.72,0.0,0.0,1.0,0.0,41.07,41.49,40.45,6903318.0
1,5/1/2015,39.94,0.0,0.0,1.0,0.0,40.07,40.34,39.75,11605034.0
2,6/1/2015,39.62,0.0,0.0,1.0,0.0,40.17,40.2,39.28,7643858.0
3,7/1/2015,40.59,0.0,0.0,1.0,0.0,39.88,40.62,39.7,9670842.0
4,8/1/2015,41.25,0.0,0.0,1.0,0.0,41.17,41.65,41.01,13146188.0
5,9/1/2015,39.9,0.0,0.0,1.0,0.0,40.5,40.76,39.56,27472200.0
6,12/1/2015,40.12,0.0,0.0,1.0,0.0,40.15,40.42,39.91,9855040.0
7,13/1/2015,40.44,0.0,0.0,1.0,0.0,40.74,41.07,40.07,11032596.0
8,14/1/2015,40.21,0.0,0.0,1.0,0.0,40.03,40.39,39.81,9290768.0
9,15/1/2015,39.79,0.0,0.0,1.0,0.0,40.3,40.45,39.6,8116086.0
10,16/1/2015,40.31,0.0,0.0,1.0,0.0,39.63,40.39,39.5,9005304.0
11,20/1/2015,40.61,0.0,0.0,1.0,0.0,40.4,40.74,40.17,10647010.0
12,21/1/2015,40.65,0.0,0.0,1.0,0.0,40.53,40.82,40.27,10825820.0
13,22/1/2015,41.37,0.0,0.0,1.0,0.0,40.68,41.42,40.45,23444600.0
14,23/1/2015,44.11,0.0,0.0,1.0,0.0,43.25,44.35,43.22,38048960.0
15,26/1/2015,44.06,0.0,0.0,1.0,0.0,44.05,44.25,43.71,14095802.0
16,27/1/2015,44.17,0.0,0.0,1.0,0.0,43.89,44.61,43.73,10995668.0
17,28/1/2015,43.78,0.0,0.0,1.0,0.0,44.35,44.8,43.75,11951366.0
18,29/1/2015,44.53,0.0,0.0,1.0,0.0,44.01,44.65,43.79,12467380.0
19,30/1/2015,43.77,0.0,0.0,1.0,0.0,44.29,44.47,43.7,10053230.0
20,2/2/2015,44.0,0.0,0.0,1.0,0.0,43.84,44.05,42.93,13638414.0
21,3/2/2015,44.25,0.0,0.0,1.0,0.0,43.99,44.25,43.47,9252376.0
22,4/2/2015,44.35,0.0,0.0,1.0,0.0,44.0,44.72,44.0,11495712.0
23,5/2/2015,44.82,0.0,0.0,1.0,0.0,44.36,44.89,44.36,7598150.0
24,6/2/2015,44.5,0.0,0.0,1.0,0.0,44.75,44.84,44.34,7826712.0
25,9/2/2015,44.41,0.0,0.0,1.0,0.0,44.26,44.6,44.07,6907214.0
26,10/2/2015,45.59,0.0,0.0,1.0,0.0,44.69,45.69,44.67,12466990.0
27,11/2/2015,45.4,0.0,0.0,1.0,0.0,45.58,45.9,45.35,6456524.0
28,12/2/2015,45.91,0.8442,0.0,0.664,0.336,45.55,45.97,45.05,7183150.0
29,13/2/2015,45.79,0.8442,0.0,0.664,0.336,46.0,46.0,45.45,6105882.0
30,17/2/2015,46.02,0.8442,0.0,0.664,0.336,45.89,46.12,45.63,6379992.0
31,18/2/2015,46.5,-0.3182,0.103,0.897,0.0,46.2,46.67,46.0,6524246.0
32,19/2/2015,46.59,-0.3182,0.103,0.897,0.0,46.58,46.89,46.51,6108706.0
33,20/2/2015,46.76,-0.3182,0.103,0.897,0.0,46.73,46.84,46.49,6461562.0
34,23/2/2015,46.79,-0.3182,0.103,0.897,0.0,46.93,46.96,46.54,5849850.0
35,24/2/2015,46.73,0.6369,0.0,0.617,0.383,46.63,47.0,46.58,6328962.0
36,25/2/2015,47.13,0.6369,0.0,0.617,0.383,46.65,47.42,46.63,8119680.0
